baseline,metric,n,mean_advantage,median_advantage,win_rate,wilcoxon_greater_p,bootstrap_ci95_low,bootstrap_ci95_high,holm_p_all_tests,holm_significant_0p05
risk_mara_isotonic,selective_risk_at_80,680,0.0057411562031171,0.004255319148936,0.6176470588235294,1.614175825444512e-26,0.0047126288604499,0.0067162644159629,4.681109893789085e-25,True
risk_mara_isotonic,risk_nll,680,0.0647653893542783,0.0316671287029154,0.8691176470588236,1.2766634781235246e-90,0.0575268252425871,0.0727483971439605,1.0468640520612901e-88,True
risk_rf_error_predictor,risk_coverage_auc,680,0.0159743544748122,0.0131233284967447,0.913235294117647,7.808621673383511e-103,0.0149624261732578,0.0169509061147492,7.808621673383512e-101,True
risk_rf_error_predictor,risk_ece_10bin,680,0.1013315366869029,0.1034491031334412,0.9632352941176472,1.0044994428466003e-110,0.0974024089539224,0.1053886963181328,1.1149943815597264e-108,True
risk_rf_error_predictor,selective_risk_at_90,680,0.0041828096323453,0.0052817556258135,0.6191176470588236,2.5955842857700586e-25,0.0033111363777492,0.0050440139519389,6.748519143002152e-24,True
risk_rf_error_predictor,failure_auroc,680,0.0377133130630275,0.0337946722430644,0.9220588235294118,8.582039061454794e-98,0.0352427877136356,0.040185575976022,7.89547593653841e-96,True
risk_rf_error_predictor,failure_auprc,680,0.0322251337698649,0.0286922624313213,0.7764705882352941,3.8954877515596796e-56,0.0278600999791558,0.0364292442936633,2.0646085083266303e-54,True
risk_rf_error_predictor,risk_brier,680,0.030602742866305,0.0297560613041301,0.976470588235294,3.399551707112538e-112,0.029478927899002,0.031796821723848,4.0454665314639204e-110,True
risk_rf_error_predictor,selective_risk_at_80,680,0.0086258254899949,0.0072993672993672,0.6897058823529412,9.390331210993244e-45,0.0075266218843505,0.0096502234842979,4.22564904494696e-43,True
risk_rf_error_predictor,risk_nll,680,0.0721590052247151,0.070620344077401,0.9823529411764704,6.353193895952059e-113,0.0696521424722472,0.0747695615068124,8.132088186818635e-111,True
risk_scalar_full,risk_coverage_auc,680,0.0066499175000175,0.0050347880361526,0.7911764705882353,1.1680975774711572e-51,0.0058721670323122,0.0074610692278042,5.957297645102901e-50,True
risk_scalar_full,risk_ece_10bin,680,0.21398092333132,0.2269175926637309,0.9970588235294118,2.6632402199514465e-113,0.2097197944608532,0.2182274356698766,3.994836422601385e-111,True
risk_scalar_full,selective_risk_at_90,680,0.0015557823799733,0.0,0.4926470588235294,3.704253510925276e-06,0.000825031155648,0.0022526577400294,3.704253510925276e-05,True
risk_scalar_full,failure_auroc,680,0.0174964923891145,0.0149671870894891,0.7676470588235295,4.3180262160724856e-51,0.0153933493293069,0.0196160030327754,2.115832845875518e-49,True
risk_scalar_full,failure_auprc,680,0.0163148792860498,0.0181693759734009,0.6588235294117647,2.8894094819463926e-25,0.0130796475886866,0.0195241366972862,7.223523704865981e-24,True
risk_scalar_full,risk_brier,680,0.0727299700791471,0.0735515184166671,0.9970588235294118,3.501968690474774e-113,0.0709053948914537,0.0746402819807357,4.5673709482946864e-111,True
risk_scalar_full,selective_risk_at_80,680,0.0039317196300126,0.002267573696145,0.5529411764705883,1.2784269377346583e-16,0.0030352764473531,0.0047990998070839,2.6846965692427825e-15,True
risk_scalar_full,risk_nll,680,0.1682604861556796,0.1716461697936505,0.9970588235294118,3.1359965129794985e-113,0.1642325273746793,0.1726238777035404,4.1524989373369176e-111,True
risk_uncertainty_only,risk_coverage_auc,680,0.0462242418682891,0.0465827059113957,0.9647058823529412,3.5836484007743672e-112,0.0443899487137037,0.0481802008521616,4.2287051129137535e-110,True
risk_uncertainty_only,risk_ece_10bin,680,0.2371944873223584,0.2507150468122624,0.998529411764706,2.6515025434811334e-113,0.233139959818985,0.2413866801450361,3.994836422601385e-111,True
risk_uncertainty_only,selective_risk_at_90,680,0.0131611387893587,0.0121936384934222,0.8029411764705883,1.3908407100416069e-83,0.0122488320982267,0.0141297509836394,1.029222125430789e-81,True
risk_uncertainty_only,failure_auroc,680,0.1094756026304861,0.107739944516726,0.9676470588235294,5.004066287631399e-112,0.1050599813660205,0.1142361699020908,5.804716893652423e-110,True
risk_uncertainty_only,failure_auprc,680,0.1060701062310185,0.1065720183959117,0.973529411764706,1.7653691790010035e-112,0.1012528505920873,0.1108086963430037,2.1714040901712344e-110,True
risk_uncertainty_only,risk_brier,680,0.0916694469058734,0.0936210947926509,1.0,2.6281818569745956e-113,0.0900341018825185,0.0933962314025008,3.994836422601385e-111,True
risk_uncertainty_only,selective_risk_at_80,680,0.0229779793730964,0.0204081632653061,0.8691176470588236,3.158545764842574e-96,0.0215602102915831,0.0245113634249341,2.779520273061465e-94,True
risk_uncertainty_only,risk_nll,680,0.2081634487964108,0.2111665867718004,1.0,2.6281818569745956e-113,0.2042041452007351,0.2122069069618408,3.994836422601385e-111,True
risk_validation_knn_error,risk_coverage_auc,680,0.031227935624898,0.029239142539548,0.9088235294117648,2.5903064917250902e-101,0.0294185021858739,0.0330577206262923,2.5385003618905884e-99,True
risk_validation_knn_error,risk_ece_10bin,680,0.0265142083791346,0.0291562051638932,0.8073529411764706,5.029854349145827e-63,0.0239367207833552,0.0290474632005962,2.8670169790131217e-61,True
risk_validation_knn_error,selective_risk_at_90,680,0.0094151592735405,0.009009009009009,0.7617647058823529,3.112021142774234e-57,0.0084371295717788,0.0104485744258083,1.6804914170980863e-55,True
risk_validation_knn_error,failure_auroc,680,0.0761048336590221,0.0748091158127878,0.9044117647058824,1.2307032877378147e-97,0.071463337173152,0.0807694928550929,1.1199399918414114e-95,True
risk_validation_knn_error,failure_auprc,680,0.0704590634854102,0.0699638288614821,0.8808823529411764,1.2890873558181944e-83,0.0650289373696645,0.0759492467923275,9.668155168636458e-82,True
